feature,importance
bb_width,533
stoch_d_lag3,506
obv,498
stoch_k,441
logret_lag3,400
rsi14_lag3,395
stoch_d,393
bb_pct,365
bb_pct_lag3,363
macd_signal_lag3,361
logret_lag1,358
logret_lag2,337
rsi14,332
bb_pct_lag2,326
sma_200,324
logret,320
stoch_k_lag3,312
vpt,309
stoch_k_lag1,299
Volume,290
rsi14_lag2,287
stoch_k_lag2,275
bb_pct_lag1,270
vpt_lag3,258
stoch_d_lag2,246
rsi14_lag1,242
vpt_lag1,239
momentum_lag2,230
momentum,228
stoch_d_lag1,225
macd_signal,224
momentum_lag1,213
macd_signal_lag2,210
vpt_lag2,205
atr14,189
ama_cross,183
momentum_lag3,177
macd_signal_lag1,172
atr14_lag3,171
sma_50,171
atr14_lag2,169
macd_lag3,165
ama_cross_lag3,151
macd,147
atr14_lag1,132
ama_cross_lag1,125
ema_20,123
macd_lag2,122
macd_lag1,119
Close,111
ema_10,111
ama_cross_lag2,106
Low,101
Open,95
High,88
sym_ADAUSDT,8
sym_SOLUSDT,4
sym_BNBUSDT,3
sym_ETHUSDT,1
sym_DOGEUSDT,0
sym_BTCUSDT,0
