feature,importance
bb_width,3463
logret_lag3,3025
logret,2867
stoch_d_lag3,2811
logret_lag1,2762
logret_lag2,2550
obv,2478
stoch_k,2388
stoch_k_lag3,2320
stoch_k_lag1,2314
momentum_lag2,2246
Volume,2246
bb_pct_lag1,2119
momentum_lag3,2049
rsi14,2044
momentum_lag1,2025
momentum,1964
bb_pct,1959
stoch_k_lag2,1939
rsi14_lag3,1918
bb_pct_lag3,1896
stoch_d,1850
bb_pct_lag2,1820
rsi14_lag2,1729
rsi14_lag1,1707
stoch_d_lag2,1440
stoch_d_lag1,1378
vpt,1281
macd_signal_lag3,1143
vpt_lag3,1111
vpt_lag2,1048
ama_cross,915
macd_lag3,914
sma_200,888
ama_cross_lag3,884
vpt_lag1,866
macd_signal,830
macd_signal_lag2,818
macd_signal_lag1,807
ama_cross_lag1,801
atr14_lag3,792
macd,711
ama_cross_lag2,693
atr14,671
macd_lag2,650
atr14_lag1,603
atr14_lag2,517
macd_lag1,514
sma_50,367
Low,336
Open,325
ema_20,244
High,232
ema_10,220
Close,183
sym_BNBUSDT,39
sym_SOLUSDT,19
sym_ADAUSDT,18
sym_ETHUSDT,11
sym_DOGEUSDT,0
sym_BTCUSDT,0
