number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0.5591530322412442,2025-10-11 21:23:47.732565,2025-10-11 21:23:52.229069,0 days 00:00:04.496504,0.5779972601681014,1,0.5780093202212182,4.330880728874676,3.005575058716044,0.015355286838886862,12,32,191,COMPLETE
1,0.5615862052747287,2025-10-11 21:23:52.231065,2025-10-11 21:23:54.201796,0 days 00:00:01.970731,0.5909124836035503,2,0.6061695553391381,1.5212112147976886,2.6237821581611893,0.04170553216181044,15,43,18,COMPLETE
2,0.5564911141297576,2025-10-11 21:23:54.203792,2025-10-11 21:23:58.442455,0 days 00:00:04.238663,0.6831809216468459,4,0.6460723242676091,3.925879806965068,0.9983689107917987,0.018236581424556052,10,11,69,COMPLETE
3,0.5693107889082613,2025-10-11 21:23:58.445449,2025-10-11 21:23:59.765917,0 days 00:00:01.320468,0.5325257964926398,7,0.5852620618436457,4.828160165372797,4.041986740582305,0.023334818836184625,3,32,125,COMPLETE
4,0.5510268824437599,2025-10-11 21:23:59.766914,2025-10-11 21:24:02.790828,0 days 00:00:03.023914,0.7475884550556351,1,0.5610191174223894,4.546602010393911,1.2938999080000846,0.012453219846912198,11,25,33,COMPLETE
5,0.5495675601342556,2025-10-11 21:24:02.792824,2025-10-11 21:24:05.888546,0 days 00:00:03.095722,0.9847923138822793,6,0.5924272277627636,4.697494707820946,4.474136752138244,0.036385753170854684,9,30,72,COMPLETE
6,0.5611520009569956,2025-10-11 21:24:05.891538,2025-10-11 21:24:07.531157,0 days 00:00:01.639619,0.6626651653816322,3,0.522613644455269,1.3567451588694794,4.143687545759647,0.0299816694120633,4,14,186,COMPLETE
7,0.5429090738566202,2025-10-11 21:24:07.532154,2025-10-11 21:24:12.097942,0 days 00:00:04.565788,0.5372753218398854,7,0.9010984903770198,3.861223846483287,0.993578407670862,0.014558505116213708,10,11,67,COMPLETE
8,0.5583402006505079,2025-10-11 21:24:12.099937,2025-10-11 21:24:17.678022,0 days 00:00:05.578085,0.5370223258670452,3,0.8856351733429728,0.5793452976256486,4.315517129377968,0.0050834018700114374,12,38,166,COMPLETE
9,0.5640238012235305,2025-10-11 21:24:17.679019,2025-10-11 21:24:19.342575,0 days 00:00:01.663556,0.864803089169032,5,0.6625916610133735,4.436063712881633,2.3610746258097466,0.03235188302117385,3,19,76,COMPLETE
10,0.553333948700913,2025-10-11 21:24:19.343572,2025-10-11 21:24:21.176668,0 days 00:00:01.833096,0.8451235367845726,7,0.7595720016297407,2.99957818406288,3.2898109248551823,0.08484397325237232,6,47,136,COMPLETE
11,0.5590561275908588,2025-10-11 21:24:21.178662,2025-10-11 21:24:22.536032,0 days 00:00:01.357370,0.865042426595599,5,0.7171781358782057,3.035921370166128,2.202654840899742,0.06281234593162661,3,21,113,COMPLETE
12,0.5513383335319164,2025-10-11 21:24:22.538026,2025-10-11 21:24:24.960548,0 days 00:00:02.422522,0.8680473910692731,5,0.7085862143808441,4.951206130108106,1.9252103037593067,0.007991288351359021,6,20,111,COMPLETE
13,0.5507211291214962,2025-10-11 21:24:24.961546,2025-10-11 21:24:28.642703,0 days 00:00:03.681157,0.946182387952277,6,0.7766688519794932,3.4411475597509966,3.552479272952497,0.026221362611749403,6,5,136,COMPLETE
14,0.5621459421737923,2025-10-11 21:24:28.643700,2025-10-11 21:24:29.719824,0 days 00:00:01.076124,0.7656379349510785,6,0.660331865238152,2.2817442157283203,1.8511133362718577,0.051943020450991216,3,34,95,COMPLETE
15,0.5580186011934118,2025-10-11 21:24:29.720821,2025-10-11 21:24:32.341811,0 days 00:00:02.620990,0.7805239425677498,5,0.8211113451678518,4.996177999914328,4.886332327975389,0.021607145131506404,5,25,141,COMPLETE
16,0.5534228688187305,2025-10-11 21:24:32.343806,2025-10-11 21:24:35.416590,0 days 00:00:03.072784,0.9203860781832249,7,0.5035640893636597,4.082041053612433,0.06589607190461777,0.011727699688251972,8,19,48,COMPLETE
17,0.5544508616010904,2025-10-11 21:24:35.417588,2025-10-11 21:24:37.570829,0 days 00:00:02.153241,0.6696731686022723,4,0.6544257455537922,2.8041241341814245,2.6724337409107055,0.02969573798401847,7,38,92,COMPLETE
18,0.5546146341860302,2025-10-11 21:24:37.572824,2025-10-11 21:24:38.942162,0 days 00:00:01.369338,0.8068873946808947,6,0.6961382224651624,2.3037755213153366,3.9151610583659027,0.0985358218236564,4,26,163,COMPLETE
19,0.5635381438323546,2025-10-11 21:24:38.943160,2025-10-11 21:24:40.205784,0 days 00:00:01.262624,0.7231610042250181,5,0.8399911153231385,3.76173740166832,3.5727531225262923,0.051547493772357136,3,50,89,COMPLETE
20,0.5482854778907272,2025-10-11 21:24:40.207784,2025-10-11 21:24:44.825431,0 days 00:00:04.617647,0.6200392464368687,3,0.9750202145148279,0.058104808137766195,4.969213925248543,0.010198867770632284,15,37,125,COMPLETE
21,0.5651505169222931,2025-10-11 21:24:44.826429,2025-10-11 21:24:46.228679,0 days 00:00:01.402250,0.7222613215584973,5,0.8272346548621784,3.598651961855676,3.581018513567842,0.061265398021651846,3,50,88,COMPLETE
22,0.5568427157605959,2025-10-11 21:24:46.230673,2025-10-11 21:24:47.811449,0 days 00:00:01.580776,0.8159842995026294,4,0.7941502599938276,3.4496386082007793,3.7811474219215953,0.06623438754745684,4,43,52,COMPLETE
23,0.5554156874160363,2025-10-11 21:24:47.812447,2025-10-11 21:24:49.825063,0 days 00:00:02.012616,0.9268951568005283,5,0.6326537789436381,4.373915151438391,3.170064962868606,0.039281382350509216,5,17,84,COMPLETE
24,0.5594559253870868,2025-10-11 21:24:49.827058,2025-10-11 21:24:51.931430,0 days 00:00:02.104372,0.5158108276738461,6,0.5503705775155242,3.6182940768788168,2.827937267843168,0.02041201706140231,5,43,103,COMPLETE
25,0.5594892327521469,2025-10-11 21:24:51.933425,2025-10-11 21:24:53.128230,0 days 00:00:01.194805,0.6235220715740881,7,0.7326943485016937,4.416704710879243,2.2696607896313896,0.07209939304123521,3,30,121,COMPLETE
26,0.5491529254418474,2025-10-11 21:24:53.130225,2025-10-11 21:24:55.712324,0 days 00:00:02.582099,0.727625943062044,4,0.8861932430618498,4.055198705579409,3.4382661878465504,0.049472405733410794,7,23,54,COMPLETE
27,0.5596564822429676,2025-10-11 21:24:55.713322,2025-10-11 21:24:58.175734,0 days 00:00:02.462412,0.8963745447923046,6,0.6791841821331884,4.753516853634041,4.688666722197997,0.026596770646960248,4,15,79,COMPLETE
28,0.5499466347416322,2025-10-11 21:24:58.176731,2025-10-11 21:25:00.995195,0 days 00:00:02.818464,0.9902293734042535,5,0.9466762852755842,3.2105593528458214,3.858161623063816,0.03406825084265861,5,8,148,COMPLETE
29,0.5500866405878553,2025-10-11 21:25:00.996192,2025-10-11 21:25:03.416723,0 days 00:00:02.420531,0.5819377877458465,2,0.6225590556839438,4.199192280908067,3.00120582375693,0.045496016535341834,13,33,103,COMPLETE
