number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0.45732165206508135,2025-10-21 18:12:47.846318,2025-10-21 18:12:54.805173,0 days 00:00:06.958855,0.5779972601681014,1,0.5780093202212182,4.330880728874676,3.005575058716044,0.01184431975182039,10,62,245,COMPLETE
1,0.4623279098873592,2025-10-21 18:12:54.829081,2025-10-21 18:12:56.768508,0 days 00:00:01.939427,0.5909124836035503,2,0.6061695553391381,1.5212112147976886,2.6237821581611893,0.025529516046973785,12,84,19,COMPLETE
2,0.45506883604505627,2025-10-21 18:12:56.769506,2025-10-21 18:13:02.727460,0 days 00:00:05.957954,0.6831809216468459,4,0.6460723242676091,3.925879806965068,0.9983689107917987,0.013518080333310006,9,18,85,COMPLETE
3,0.46257822277847305,2025-10-21 18:13:02.729514,2025-10-21 18:13:04.636361,0 days 00:00:01.906847,0.5325257964926398,7,0.5852620618436457,4.828160165372797,4.041986740582305,0.016338208828908806,3,63,158,COMPLETE
4,0.4608260325406758,2025-10-21 18:13:04.637354,2025-10-21 18:13:09.027616,0 days 00:00:04.390262,0.7475884550556351,1,0.5610191174223894,4.546602010393911,1.2938999080000846,0.0100828608459043,9,47,38,COMPLETE
5,0.4498122653316646,2025-10-21 18:13:09.028614,2025-10-21 18:13:12.056517,0 days 00:00:03.027903,0.9847923138822793,6,0.5924272277627636,4.697494707820946,4.474136752138244,0.022987528923660835,8,57,90,COMPLETE
6,0.4513141426783479,2025-10-21 18:13:12.056517,2025-10-21 18:13:13.946464,0 days 00:00:01.889947,0.6626651653816322,3,0.522613644455269,1.3567451588694794,4.143687545759647,0.019809338952032924,3,23,238,COMPLETE
7,0.4665832290362954,2025-10-21 18:13:13.947462,2025-10-21 18:13:18.279906,0 days 00:00:04.332444,0.5372753218398854,7,0.9010984903770198,3.861223846483287,0.993578407670862,0.011369027867815908,8,18,82,COMPLETE
8,0.46107634543178977,2025-10-21 18:13:18.281903,2025-10-21 18:13:23.584699,0 days 00:00:05.302796,0.5370223258670452,3,0.8856351733429728,0.5793452976256486,4.315517129377968,0.005063981628665743,10,74,212,COMPLETE
9,0.45757196495619523,2025-10-21 18:13:23.585696,2025-10-21 18:13:25.078731,0 days 00:00:01.493035,0.864803089169032,5,0.6625916610133735,4.436063712881633,2.3610746258097466,0.021002361583510997,3,34,95,COMPLETE
10,0.460325406758448,2025-10-21 18:13:25.080724,2025-10-21 18:13:29.128877,0 days 00:00:04.048153,0.8451235367845726,7,0.9905354130446519,3.1204176358618265,0.1989980303850739,0.04406629612367329,6,6,162,COMPLETE
11,0.46257822277847305,2025-10-21 18:13:29.129875,2025-10-21 18:13:32.940685,0 days 00:00:03.810810,0.5154812745279433,7,0.7812653513330632,3.035921370166128,3.4404944900652925,0.007092080032111556,6,43,167,COMPLETE
12,0.4703379224030037,2025-10-21 18:13:32.941680,2025-10-21 18:13:35.392132,0 days 00:00:02.450452,0.6372424866412405,6,0.8045369317168722,3.544037058979957,1.7476003999875935,0.009050077142177648,5,100,140,COMPLETE
