number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0.5500045406788191,2025-10-11 22:38:36.294770,2025-10-11 22:38:39.397441,0 days 00:00:03.102671,0.5779972601681014,1,0.5780093202212182,4.330880728874676,3.005575058716044,0.01184431975182039,10,62,245,COMPLETE
1,0.5423759555248788,2025-10-11 22:38:39.400434,2025-10-11 22:38:40.351230,0 days 00:00:00.950796,0.5909124836035503,2,0.6061695553391381,1.5212112147976886,2.6237821581611893,0.025529516046973785,12,84,19,COMPLETE
2,0.5331324420506439,2025-10-11 22:38:40.353224,2025-10-11 22:38:42.618578,0 days 00:00:02.265354,0.6831809216468459,4,0.6460723242676091,3.925879806965068,0.9983689107917987,0.013518080333310006,9,18,85,COMPLETE
3,0.5451770471087629,2025-10-11 22:38:42.620572,2025-10-11 22:38:43.589733,0 days 00:00:00.969161,0.5325257964926398,7,0.5852620618436457,4.828160165372797,4.041986740582305,0.016338208828908806,3,63,158,COMPLETE
4,0.5385299532347887,2025-10-11 22:38:43.590728,2025-10-11 22:38:45.053207,0 days 00:00:01.462479,0.7475884550556351,1,0.5610191174223894,4.546602010393911,1.2938999080000846,0.0100828608459043,9,47,38,COMPLETE
5,0.5345848780278815,2025-10-11 22:38:45.054204,2025-10-11 22:38:46.596079,0 days 00:00:01.541875,0.9847923138822793,6,0.5924272277627636,4.697494707820946,4.474136752138244,0.022987528923660835,8,57,90,COMPLETE
6,0.5430951655369709,2025-10-11 22:38:46.597076,2025-10-11 22:38:47.635304,0 days 00:00:01.038228,0.6626651653816322,3,0.522613644455269,1.3567451588694794,4.143687545759647,0.019809338952032924,3,23,238,COMPLETE
7,0.5492180699971664,2025-10-11 22:38:47.636301,2025-10-11 22:38:49.872318,0 days 00:00:02.236017,0.5372753218398854,7,0.9010984903770198,3.861223846483287,0.993578407670862,0.011369027867815908,8,18,82,COMPLETE
8,0.5431322403641641,2025-10-11 22:38:49.874313,2025-10-11 22:38:51.348699,0 days 00:00:01.474386,0.5370223258670452,3,0.8856351733429728,0.5793452976256486,4.315517129377968,0.005063981628665743,10,74,212,COMPLETE
9,0.54001446994779,2025-10-11 22:38:51.350696,2025-10-11 22:38:52.223867,0 days 00:00:00.873171,0.864803089169032,5,0.6625916610133735,4.436063712881633,2.3610746258097466,0.021002361583510997,3,34,95,COMPLETE
10,0.5371548415994087,2025-10-11 22:38:52.225862,2025-10-11 22:38:53.423473,0 days 00:00:01.197611,0.8451235367845726,1,0.7606700059313507,3.1168825931473276,2.8527393244084163,0.04406629612367329,6,94,180,COMPLETE
11,0.5495712608887262,2025-10-11 22:38:53.426463,2025-10-11 22:38:55.463926,0 days 00:00:02.037463,0.6182597527975374,7,0.9464924465586473,3.035921370166128,0.04511928708313817,0.008520633327179936,6,39,118,COMPLETE
12,0.5395709078872938,2025-10-11 22:38:55.465921,2025-10-11 22:38:57.103255,0 days 00:00:01.637334,0.6368719098105871,5,0.9973155533575393,2.870452657185327,0.029196314999720717,0.007114700659557775,6,44,132,COMPLETE
13,0.5364884670982139,2025-10-11 22:38:57.104251,2025-10-11 22:38:59.818258,0 days 00:00:02.714007,0.7484483315394533,3,0.7483194866550948,2.282037668492941,3.284889666133569,0.007826429151811589,6,5,252,COMPLETE
14,0.5410314460368191,2025-10-11 22:38:59.820253,2025-10-11 22:39:01.172224,0 days 00:00:01.351971,0.5993385346102525,5,0.736820315715845,3.4457791149243118,1.8170326618738923,0.00835137009099066,12,66,135,COMPLETE
15,0.5336870196589586,2025-10-11 22:39:01.173221,2025-10-11 22:39:03.045123,0 days 00:00:01.871902,0.6948365360764367,6,0.8249080874443694,2.5075464575793496,3.478603112702862,0.005375069494324358,5,39,197,COMPLETE
16,0.5525254215829409,2025-10-11 22:39:03.047117,2025-10-11 22:39:04.118473,0 days 00:00:01.071356,0.5915165014252203,2,0.9202685958641559,3.8188026808882527,0.06589607190461777,0.03297516354978976,10,78,115,COMPLETE
17,0.5373409971253688,2025-10-11 22:39:04.120469,2025-10-11 22:39:05.546557,0 days 00:00:01.426088,0.8255044162944253,2,0.823491603090508,3.9644381772567723,4.955492967071802,0.033362344165138474,11,78,162,COMPLETE
